Nombre_Imagen,Latitud,Longitud,Hora_EXIF,Delta_Segundos
096be103__b5c870e2-_DSC2119.JPG,N/A,N/A,2023-10-04 14:33:50,>300
0971a0f9__b2a52d1a-_DSC2329.JPG,N/A,N/A,2023-10-04 14:45:18,>300
0a02e642__b0604f6e-_DSC2219.JPG,N/A,N/A,2023-10-04 14:39:30,>300
105b098d__c0d9746e-_DSC2251.JPG,N/A,N/A,2023-10-04 14:40:56,>300
16df6eb3__1994be25-_DSC2220.JPG,N/A,N/A,2023-10-04 14:39:31,>300
298ad315__9e1294e0-_DSC2247.JPG,N/A,N/A,2023-10-04 14:40:51,>300
33a94699__ff29ce2f-_DSC2305.JPG,N/A,N/A,2023-10-04 14:44:10,>300
34e6696f__39ca633a-_DSC2231.JPG,N/A,N/A,2023-10-04 14:40:06,>300
38287a34__eebb23e6-_DSC2063.JPG,N/A,N/A,2023-10-04 14:31:39,>300
3881240f__4d1326e1-_DSC2202.JPG,N/A,N/A,2023-10-04 14:38:35,>300
397ca99c__d6198efe-_DSC2345.JPG,N/A,N/A,2023-10-04 14:46:32,>300
3d8c6dc2__6e656326-_DSC2300.JPG,N/A,N/A,2023-10-04 14:44:05,>300
41931b4d__a9b0aa84-_DSC2248.JPG,N/A,N/A,2023-10-04 14:40:52,>300
44c03a56__e35a4ede-_DSC2227.JPG,N/A,N/A,2023-10-04 14:40:01,>300
480ef227__e56ef446-_DSC2193.JPG,N/A,N/A,2023-10-04 14:37:27,>300
4b739a0d__dd79390b-_DSC2173.JPG,N/A,N/A,2023-10-04 14:36:08,>300
4e5557d5__d9300011-_DSC2307.JPG,N/A,N/A,2023-10-04 14:44:11,>300
4e9988cb__405b8810-_DSC2183.JPG,N/A,N/A,2023-10-04 14:36:38,>300
52dad22f__61892f5a-_DSC2294.JPG,N/A,N/A,2023-10-04 14:43:58,>300
541b4bb0__4bcbf0b5-_DSC2217.JPG,N/A,N/A,2023-10-04 14:39:27,>300
5c0e1b95__b0e8e0f8-_DSC2301.JPG,N/A,N/A,2023-10-04 14:44:06,>300
5ea4e569__93dbed7f-_DSC2185.JPG,N/A,N/A,2023-10-04 14:36:39,>300
64f43c8b__959b4f44-_DSC2172.JPG,N/A,N/A,2023-10-04 14:36:07,>300
69836bb9__af2d12ea-_DSC2228.JPG,N/A,N/A,2023-10-04 14:40:02,>300
6b87ef3f__b6ab4f33-_DSC2232.JPG,N/A,N/A,2023-10-04 14:40:07,>300
6f23772c__427c0c25-_DSC2258.JPG,N/A,N/A,2023-10-04 14:41:13,>300
714fd8ec__c21f557b-_DSC2147.JPG,N/A,N/A,2023-10-04 14:34:54,>300
80a3aac0__f175e52b-_DSC2118.JPG,N/A,N/A,2023-10-04 14:33:48,>300
81cd44a1__f27bb85f-_DSC2106.JPG,N/A,N/A,2023-10-04 14:33:31,>300
88cab61c__9fe54e69-_DSC2159.JPG,N/A,N/A,2023-10-04 14:35:33,>300
8c0b08df__8546f906-_DSC2025.JPG,N/A,N/A,2023-10-04 14:30:12,>300
8ea19684__4a6ba04f-_DSC2233.JPG,N/A,N/A,2023-10-04 14:40:15,>300
9439a2b8__b098581c-_DSC2293.JPG,N/A,N/A,2023-10-04 14:43:57,>300
956267a0__6adffc28-_DSC2216.JPG,N/A,N/A,2023-10-04 14:39:26,>300
9ad3691c__0ed9c6fe-_DSC2344.JPG,N/A,N/A,2023-10-04 14:46:30,>300
a8df1d06__9826ce38-_DSC2259.JPG,N/A,N/A,2023-10-04 14:41:14,>300
a9327df8__17ab5f24-_DSC2261.JPG,N/A,N/A,2023-10-04 14:41:18,>300
aa98840f__7ee3e738-_DSC2170.JPG,N/A,N/A,2023-10-04 14:36:03,>300
b15aec5a__56f056bc-_DSC2244.JPG,N/A,N/A,2023-10-04 14:40:44,>300
b370a4ec__0f4d4554-_DSC2024.JPG,N/A,N/A,2023-10-04 14:30:11,>300
b5407caf__be1ab1df-_DSC2306.JPG,N/A,N/A,2023-10-04 14:44:11,>300
c7cbf036__9faf296f-_DSC2215.JPG,N/A,N/A,2023-10-04 14:39:24,>300
d1215918__f9d4c5e9-_DSC2064.JPG,N/A,N/A,2023-10-04 14:31:41,>300
ddc16629__53d2b683-_DSC2171.JPG,N/A,N/A,2023-10-04 14:36:05,>300
de1f92d1__f27aba75-_DSC2141.JPG,N/A,N/A,2023-10-04 14:34:43,>300
e13c1fa4__fa1e790e-_DSC2320.JPG,N/A,N/A,2023-10-04 14:44:30,>300
eab36879__ef66eb04-_DSC2146.JPG,N/A,N/A,2023-10-04 14:34:53,>300
eb2682d9__8d383f64-_DSC2234.JPG,N/A,N/A,2023-10-04 14:40:16,>300
edf66c5b__22264e93-_DSC2290.JPG,N/A,N/A,2023-10-04 14:43:55,>300
ee2c4b52__2bfdeef4-_DSC2229.JPG,N/A,N/A,2023-10-04 14:40:03,>300
fd269a46__c3dc2527-_DSC2203.JPG,N/A,N/A,2023-10-04 14:38:37,>300
