type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-10-04 16:05:51,-42.75557167,-65.10085500,3.50,146.117,13.483,0.233,41,10,13,20231004-130551,GPS Logger: 20231004-130551 - Censo PV 2023
T,2023-10-04 16:05:52,-42.75557667,-65.10085833,3.30,146.017,13.483,0.153,41,10,13,,
T,2023-10-04 16:05:53,-42.75558333,-65.10085000,3.20,143.717,13.483,0.180,41,10,13,,
T,2023-10-04 16:05:54,-42.75559167,-65.10084333,3.10,143.317,13.483,0.260,41,10,13,,
T,2023-10-04 16:05:55,-42.75560500,-65.10082667,2.60,144.817,13.483,0.191,88,10,13,,
T,2023-10-04 16:05:56,-42.75560833,-65.10081167,2.50,146.318,13.482,0.339,85,10,13,,
T,2023-10-04 16:05:57,-42.75560667,-65.10080667,2.40,146.918,13.482,0.543,104,10,13,,
T,2023-10-04 16:05:58,-42.75561000,-65.10080167,2.30,147.618,13.482,0.747,103,10,13,,
T,2023-10-04 16:05:59,-42.75561167,-65.10079500,2.30,147.818,13.482,0.344,143,10,13,,
T,2023-10-04 16:06:00,-42.75560667,-65.10080167,2.10,148.618,13.482,0.067,290,10,13,,
T,2023-10-04 16:06:02,-42.75560167,-65.10080333,2.20,147.318,13.482,0.253,319,10,13,,
T,2023-10-04 16:06:03,-42.75560333,-65.10081500,2.20,145.817,13.483,0.283,337,10,30,,
T,2023-10-04 16:06:04,-42.75560000,-65.10082333,2.20,145.117,13.483,0.290,351,11,30,,
T,2023-10-04 16:06:05,-42.75560000,-65.10083000,2.10,144.517,13.483,0.279,333,15,30,,
T,2023-10-04 16:06:06,-42.75559833,-65.10083500,2.10,143.717,13.483,0.245,319,17,30,,
T,2023-10-04 16:06:07,-42.75559500,-65.10083333,2.10,143.317,13.483,0.182,328,16,30,,
T,2023-10-04 16:06:08,-42.75559500,-65.10083667,2.00,142.917,13.483,0.153,312,15,30,,
T,2023-10-04 16:06:09,-42.75559500,-65.10084000,2.00,142.717,13.483,0.161,208,16,30,,
T,2023-10-04 16:06:10,-42.75560167,-65.10084167,1.90,142.317,13.483,0.171,163,19,30,,
T,2023-10-04 16:06:11,-42.75560833,-65.10084667,1.90,142.117,13.483,0.188,167,19,30,,
T,2023-10-04 16:06:12,-42.75561667,-65.10084500,1.80,141.517,13.483,0.185,188,18,30,,
T,2023-10-04 16:06:13,-42.75561833,-65.10083667,1.80,141.217,13.483,0.182,177,20,30,,
T,2023-10-04 16:06:14,-42.75562000,-65.10083833,1.80,141.217,13.483,0.000,,20,30,,
T,2023-10-04 16:06:15,-42.75562167,-65.10083667,1.80,141.117,13.483,0.000,,20,30,,
T,2023-10-04 16:06:16,-42.75562167,-65.10083500,1.70,141.217,13.483,0.000,,20,30,,
T,2023-10-04 16:06:17,-42.75562167,-65.10083500,1.70,141.217,13.483,0.000,,20,30,,
T,2023-10-04 16:06:18,-42.75562167,-65.10083500,1.60,141.217,13.483,0.000,,20,30,,
T,2023-10-04 16:06:19,-42.75562167,-65.10083500,1.50,141.217,13.483,0.000,,19,30,,
T,2023-10-04 16:06:20,-42.75562167,-65.10083500,1.50,141.217,13.483,0.000,,21,30,,
T,2023-10-04 16:06:21,-42.75562167,-65.10083500,1.50,141.217,13.483,0.000,,20,30,,
T,2023-10-04 16:06:22,-42.75562167,-65.10083500,1.50,141.217,13.483,0.000,,21,30,,
T,2023-10-04 16:06:23,-42.75562167,-65.10083500,1.40,141.217,13.483,0.000,,21,30,,
T,2023-10-04 16:06:24,-42.75562167,-65.10083500,1.40,141.217,13.483,0.000,,23,30,,
T,2023-10-04 16:06:25,-42.75562167,-65.10083500,1.40,141.217,13.483,0.000,,23,30,,
T,2023-10-04 16:06:26,-42.75562167,-65.10083500,1.40,141.217,13.483,0.000,,23,30,,
T,2023-10-04 16:06:27,-42.75562167,-65.10083500,1.40,141.217,13.483,0.000,,23,29,,
T,2023-10-04 16:06:28,-42.75562167,-65.10083500,1.40,141.217,13.483,0.000,,23,29,,
T,2023-10-04 16:06:29,-42.75562167,-65.10083500,1.40,141.217,13.483,0.000,,23,29,,
T,2023-10-04 16:06:30,-42.75562167,-65.10083500,1.40,141.217,13.483,0.000,,22,29,,
T,2023-10-04 16:06:31,-42.75562167,-65.10083500,1.40,141.217,13.483,0.000,,22,29,,
T,2023-10-04 16:06:32,-42.75562167,-65.10083500,1.40,141.217,13.483,0.000,,22,29,,
T,2023-10-04 16:06:33,-42.75562167,-65.10083500,1.40,141.217,13.483,0.000,,23,29,,
T,2023-10-04 16:06:34,-42.75562167,-65.10083500,1.90,141.217,13.483,0.000,,22,29,,
T,2023-10-04 16:06:35,-42.75562167,-65.10083500,1.60,141.217,13.483,0.000,,23,29,,
T,2023-10-04 16:06:36,-42.75562167,-65.10083500,1.50,141.217,13.483,0.000,,23,29,,
T,2023-10-04 16:06:37,-42.75562167,-65.10083500,1.60,141.217,13.483,0.000,,22,29,,
T,2023-10-04 16:06:38,-42.75562167,-65.10083500,1.60,141.217,13.483,0.000,,21,29,,
T,2023-10-04 16:06:39,-42.75562167,-65.10083500,1.70,141.217,13.483,0.000,,21,29,,
T,2023-10-04 16:06:40,-42.75562167,-65.10083500,2.50,141.217,13.483,0.000,,21,29,,
T,2023-10-04 16:06:41,-42.75562167,-65.10083500,2.20,141.217,13.483,0.000,,22,29,,
T,2023-10-04 16:06:42,-42.75562167,-65.10083500,2.00,141.217,13.483,0.000,,24,29,,
T,2023-10-04 16:06:43,-42.75562167,-65.10083500,1.90,141.217,13.483,0.000,,23,29,,
T,2023-10-04 16:06:44,-42.75562167,-65.10083500,1.90,141.217,13.483,0.000,,10,13,,
T,2023-10-04 16:06:45,-42.75562167,-65.10083500,1.70,141.217,13.483,0.000,,10,13,,
T,2023-10-04 16:06:46,-42.75562167,-65.10083500,1.60,141.217,13.483,0.000,,11,13,,
T,2023-10-04 16:06:47,-42.75562167,-65.10083500,1.70,141.217,13.483,0.000,,11,13,,
T,2023-10-04 16:06:48,-42.75562167,-65.10083500,1.90,141.217,13.483,0.000,,11,13,,
T,2023-10-04 16:06:49,-42.75562167,-65.10083500,2.10,141.217,13.483,0.000,,11,13,,
T,2023-10-04 16:06:50,-42.75562167,-65.10083500,2.30,141.217,13.483,0.000,,11,13,,
T,2023-10-04 16:06:51,-42.75562167,-65.10083500,2.40,141.217,13.483,0.000,,11,13,,
T,2023-10-04 16:06:52,-42.75559667,-65.10077833,2.40,141.618,13.482,0.000,,11,13,,
T,2023-10-04 16:06:53,-42.75559167,-65.10076667,2.40,141.718,13.482,0.000,,11,13,,
T,2023-10-04 16:06:54,-42.75559167,-65.10077000,2.30,141.718,13.482,0.000,,11,13,,
T,2023-10-04 16:06:55,-42.75560000,-65.10077833,2.20,141.318,13.482,0.000,,11,13,,
