type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-10-09 12:08:53,-42.75533500,-65.10049333,2.80,120.718,13.482,0.442,101,15,29,20231009-090853,GPS Logger: 20231009-090853 - Censo 0/10/23
T,2023-10-09 12:08:54,-42.75533167,-65.10048167,2.60,121.018,13.482,0.613,23,15,29,,
T,2023-10-09 12:08:55,-42.75532833,-65.10048333,2.50,121.018,13.482,0.095,338,14,29,,
T,2023-10-09 12:08:56,-42.75532833,-65.10048167,2.40,121.118,13.482,0.240,254,16,29,,
T,2023-10-09 12:08:57,-42.75533833,-65.10050500,2.20,121.518,13.482,0.343,21,15,29,,
T,2023-10-09 12:08:59,-42.75533167,-65.10049167,2.30,121.118,13.482,0.362,31,16,29,,
T,2023-10-09 12:09:00,-42.75533000,-65.10049333,2.30,121.018,13.482,0.431,13,16,29,,
T,2023-10-09 12:09:01,-42.75532333,-65.10049500,2.30,120.918,13.482,0.559,15,17,29,,
T,2023-10-09 12:09:02,-42.75532000,-65.10050167,2.30,120.718,13.482,0.492,7,14,29,,
T,2023-10-09 12:09:03,-42.75532167,-65.10051000,2.30,120.918,13.482,0.088,100,18,29,,
T,2023-10-09 12:09:04,-42.75533167,-65.10052000,2.20,121.018,13.482,0.238,269,18,29,,
T,2023-10-09 12:09:05,-42.75533333,-65.10052500,2.10,121.218,13.482,0.138,327,18,29,,
T,2023-10-09 12:09:06,-42.75533333,-65.10051833,2.00,121.418,13.482,0.147,131,17,29,,
T,2023-10-09 12:09:07,-42.75533333,-65.10051167,2.10,121.618,13.482,0.318,126,17,29,,
T,2023-10-09 12:09:08,-42.75532333,-65.10050167,2.00,121.618,13.482,0.326,74,18,29,,
T,2023-10-09 12:09:09,-42.75532333,-65.10050167,2.00,121.618,13.482,0.303,48,20,29,,
T,2023-10-09 12:09:10,-42.75531833,-65.10049833,2.10,121.618,13.482,0.291,8,19,29,,
